advertiser_id,advertiser_name,regions,elections,total_creatives,spend_usd
AR106804085620998144,"EXACT DRIVE, INC.",US,US-Federal,6,0
AR106878165216919552,TROY KING FOR CONGRESS,US,US-Federal,2,0
AR120710983567015936,Marinda Kimmel for House,US,US-Federal,1,0
AR138361168849797120,GEORGIANS FOR TED TERRY,US,US-Federal,2,0
AR141456019204079616,Birchwood & Saks Investment Finland Oy,"EU, FI",EU-Parliament,1,0
AR153603011350888448,KUZMICH FOR CONGRESS,US,US-Federal,5,0
AR176675850542907392,BECKER FOR CONGRESS,US,US-Federal,2,0
AR198246481973477376,JOE KENNEDY FOR CONGRESS,US,US-Federal,1,0
AR199381040534388736,NJ7 CITIZENS FOR CHANGE,US,US-Federal,1,0
AR273259425827913728,SWING LEFT,US,US-Federal,5,0
AR284207400544632832,SOUTHERN POVERTY LAW CENTER,US,US-Federal,1,0
AR291440675226910720,COMMITTEE TO ELECT KIANI GARDNER,US,US-Federal,3,0
AR307017181579706368,Signin Soft Private Limited,IN,IN-General,1,0
AR326875186211061760,Corey Whyte,"EU, GB, IE",EU-Parliament,7,0
AR337370849331904512,COLORADO DEMOCRATIC PARTY,US,US-Federal,1,0
AR338189710616690688,MARK DESNOYER,US,US-Federal,4,0
AR369093683938590720,TEXAS DEMOCRATIC PARTY,US,US-Federal,1,0
AR381793867873124352,Aditya Kushwaha,IN,IN-General,1,0
AR397061136580608,YC SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"EU, PL",EU-Parliament,1,0
AR406199315158007808,Abhik Misra,IN,IN-General,1,0
AR4096230569279488,Tampereen Vihreät ry,"EU, FI",EU-Parliament,13,0
AR412824285032218624,VIDOOLY MEDIA TECH PRIVATE LIMITED,IN,IN-General,1,0
AR451197240841601024,"COR STRATEGIES, INC",US,US-Federal,2,0
AR452514455771676672,Girish Shet,IN,IN-General,1,0
AR454946300614410240,Rameshkumar,IN,IN-General,1,0
AR46960416500219904,Atrey Sati,IN,IN-General,2,0
AR469817195380080640,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,US,US-Federal,1,0
AR494327508586463232,Let's do it media SRL,"EU, RO",EU-Parliament,2,0
AR502069032518680576,FRIENDS OF LARRY BARNETT,US,US-Federal,2,0
AR508457882270826496,SARAH RIGGS AMICO FOR GEORGIA EXPLORATORY COMMITTEE INC,US,US-Federal,1,0
AR533227680221364224,BORELLI FOR PUBLIC ADVOCATE,US,US-Federal,13,0
AR535478380523421696,DMI DIRECT,US,US-Federal,10,0
AR545355293475733504,JAMES HEANEY,US,US-Federal,1,0
AR550110681265864704,ΑΝΝΑ ΑΓΓΕΛΑΚΗ ΚΑΙ ΣΙΑ ΟΕ,"EU, GR",EU-Parliament,1,0
AR554362492730474496,CAMERON WILLIAMS,US,US-Federal,6,0
AR562501077799272448,COLLINS FOR CONGRESS,US,US-Federal,4,0
AR57534694702448640,Rahul Khadia,IN,IN-General,1,0
AR109607840271826944,LIVE ACTION,US,US-Federal,1,0
AR110003939335733248,"45COMMITTEE, INC.",US,US-Federal,1,0
AR11739623088717824,POOLHOUSE AGENCY LLC,US,US-Federal,3,0
AR127078805159280640,Indian PAC Consulting Private Limited,IN,IN-General,1,0
AR137577217059192832,ENVIRONMENTAL DEFENSE FUND INCORPORATED,US,US-Federal,2,0
AR160915725748273152,DOUG MAYS FOR CONGRESS,US,US-Federal,5,0
AR196541826633564160,INDIAN PAC CONSULTING PRIVATE LIMITED,IN,IN-General,2,0
AR216849806398586880,Rajiv Raja,IN,IN-General,1,0
AR231601129274736640,DONOVAN FOR CONGRESS,US,US-Federal,1,0
AR312917848169119744,CALWORTH GLENFORD LLC,US,US-Federal,1,0
AR328117496911495168,SISTER DISTRICT PROJECT INC,US,US-Federal,2,0
AR383225706890395648,SARA PATTERSON,US,US-Federal,11,0
AR472049066545512448,DPS Spółka z ograniczona odpowiedzialnością,"EU, PL",EU-Parliament,2,0
AR480161950530011136,Arun Kumar Sharma,IN,IN-General,2,0
AR523461130748690432,NATE MCMURRAY FOR CONGRESS,US,US-Federal,3,0
AR546270911783763968,BERWICK TECH PRIVATE LIMITED,IN,IN-General,1,0
AR571716909385383936,VidiSoule Media PVT LTD,IN,IN-General,2,0
AR64093968756899840,DESI MAES FOR CONGRESS,US,US-Federal,3,0
AR498560353475493888,MISSOURI RISING,US,US-Federal,3,21900
AR54815602446958592,Digitant Consulting Pvt Ltd,IN,IN-General,77,215600
AR73365463119167488,MARK KELLY FOR SENATE,US,US-Federal,41,74300
AR418892214828007424,WE ARE GREAT AGAIN,US,US-Federal,19,2300
AR63886023620296704,"Conservation Law Foundation, Inc",US,US-Federal,4,2300
AR270861665845641216,ΔΗΜΙΟΥΡΓΙΑ ΞΑΝΑ,"EU, GR",EU-Parliament,78,2300
AR55967615754960896,NEW GEN PUBLISHING SRL,"EU, RO",EU-Parliament,107,9400
AR25250421970829312,social kinnect pvt ltd,IN,IN-General,105,87500
AR511245144247238656,"DEFEAT ANTI-SEMITISM, INC.",US,US-Federal,91,16500
AR160260416818118656,PAC FOR A CHANGE,US,US-Federal,5,24400
AR465788309898002432,FRIENDS OF CHRIS MURPHY,US,US-Federal,10,24400
AR32483696653107200,JON OSSOFF FOR SENATE,US,US-Federal,66,30400
AR140414231936761856,ASSOCIATED BUILDERS AND CONTRACTORS INC.,US,US-Federal,27,486300
AR318295422101618688,JOSH GOTTHEIMER FOR CONGRESS,US,US-Federal,17,54100
AR463471638898278400,DUTY AND COUNTRY,US,US-Federal,1,4700
AR78599688223195136,MIKE LEVIN FOR CONGRESS,US,US-Federal,38,12000
AR113835462480625664,ΠΟΝΤΑΣ ΑΠΟΣΤΟΛΟΣ,"DE, EU, GR",EU-Parliament,109,11900
AR124792370729320448,American Leadership Committee,US,US-Federal,17,7000
AR81710481496080384,Demokratikus Koalíció,"EU, HU",EU-Parliament,40,6900
AR312619193323225088,HLAS,"CZ, EU",EU-Parliament,1137,6900
AR204915982068613120,COMMITTEE TO ELECT ROB DAVIDSON,US,US-Federal,15,14400
AR389378848837337088,PA VALUES,US,US-Federal,15,29100
AR494927567057321984,STEVE DAINES FOR MONTANA,US,US-Federal,1704,28300
AR429242192658169856,REPUBLICAN STATE LEADERSHIP COMMITTEE - JUDICIAL FAIRNESS  INITIATIVE,US,US-Federal,7,179600
