ad_id,advertiser_id,ad_url,ad_type,regions,start_date,end_date,ad_campaigns_list
CR70173855741640704,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR70173855741640704,Text,US,2019-07-24,2019-10-20,CA348552607708479488
CR167248912724262912,AR13000625486823424,https://transparencyreport.google.com/political-ads/library/advertiser/AR13000625486823424/creative/CR167248912724262912,Image,US,2018-05-31,2019-10-20,CA529225732774166528
CR247020405464760320,AR120847323008860160,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR247020405464760320,Image,US,2019-08-20,2019-10-17,CA329046996553826304
CR485748843988647936,AR140403236820484096,https://transparencyreport.google.com/political-ads/library/advertiser/AR140403236820484096/creative/CR485748843988647936,Video,US,2018-10-04,2019-05-28,CA296397548522831872
CR342763953866145792,AR140414231936761856,https://transparencyreport.google.com/political-ads/library/advertiser/AR140414231936761856/creative/CR342763953866145792,Video,US,2018-10-19,2018-11-05,CA45456009715515392
CR445577087156224000,AR230475229367894016,https://transparencyreport.google.com/political-ads/library/advertiser/AR230475229367894016/creative/CR445577087156224000,Video,US,2018-09-19,2018-10-01,CA281054963268845568
CR166030653840687104,AR281140725175812096,https://transparencyreport.google.com/political-ads/library/advertiser/AR281140725175812096/creative/CR166030653840687104,Video,US,2018-06-26,2018-07-08,CA24589478043582464
CR548592530585812992,AR348815665865424896,https://transparencyreport.google.com/political-ads/library/advertiser/AR348815665865424896/creative/CR548592530585812992,Text,US,2018-10-18,2018-11-06,CA94503024407347200
CR495637851568865280,AR404989714928500736,https://transparencyreport.google.com/political-ads/library/advertiser/AR404989714928500736/creative/CR495637851568865280,Video,US,2018-09-11,2018-09-21,CA300997905173446656
CR289925273325928448,AR429242192658169856,https://transparencyreport.google.com/political-ads/library/advertiser/AR429242192658169856/creative/CR289925273325928448,Video,US,2019-03-26,2019-03-29,CA2807602941526016
CR471030781339238400,AR492809907662225408,https://transparencyreport.google.com/political-ads/library/advertiser/AR492809907662225408/creative/CR471030781339238400,Text,US,2018-08-01,2018-11-05,CA101559690034413568
CR491727438464679936,AR536700762575601664,https://transparencyreport.google.com/political-ads/library/advertiser/AR536700762575601664/creative/CR491727438464679936,Video,IN,2019-04-22,2019-04-29,CA454695886841184256
CR154872260086202368,AR55282894888763392,https://transparencyreport.google.com/political-ads/library/advertiser/AR55282894888763392/creative/CR154872260086202368,Text,US,2019-04-25,2019-05-18,CA378556905640951808
CR490133971238125568,AR6195198266703872,https://transparencyreport.google.com/political-ads/library/advertiser/AR6195198266703872/creative/CR490133971238125568,Text,US,2019-05-16,2019-07-23,CA129678875281063936
CR69737349625413632,AR75218140211970048,https://transparencyreport.google.com/political-ads/library/advertiser/AR75218140211970048/creative/CR69737349625413632,Text,US,2019-08-04,2019-10-02,CA491652671673991168
CR235999175785840640,AR100996740080992256,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR235999175785840640,Image,US,2018-07-31,2018-11-07,CA409739605160493056
CR532638616866783232,AR100996740080992256,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR532638616866783232,Image,US,2018-05-31,2018-08-15,CA468603059665108992
CR260251241198649344,AR101121809528651776,https://transparencyreport.google.com/political-ads/library/advertiser/AR101121809528651776/creative/CR260251241198649344,Image,US,2019-10-11,2019-10-21,CA209955181297664000
CR279954489568395264,AR101121809528651776,https://transparencyreport.google.com/political-ads/library/advertiser/AR101121809528651776/creative/CR279954489568395264,Video,US,2019-10-09,2019-10-21,CA363077568628260864
CR324321982772412416,AR101121809528651776,https://transparencyreport.google.com/political-ads/library/advertiser/AR101121809528651776/creative/CR324321982772412416,Image,US,2019-10-08,2019-10-21,CA209955181297664000
CR370378325836693504,AR101121809528651776,https://transparencyreport.google.com/political-ads/library/advertiser/AR101121809528651776/creative/CR370378325836693504,Image,US,2019-10-11,2019-10-21,CA409520939785519104
CR373813200161865728,AR101121809528651776,https://transparencyreport.google.com/political-ads/library/advertiser/AR101121809528651776/creative/CR373813200161865728,Video,US,2019-10-17,2019-10-20,CA562643327116115968
CR531170906282655744,AR101121809528651776,https://transparencyreport.google.com/political-ads/library/advertiser/AR101121809528651776/creative/CR531170906282655744,Image,US,2019-10-08,2019-10-21,CA409520939785519104
CR241460999796817920,AR101183107301900288,https://transparencyreport.google.com/political-ads/library/advertiser/AR101183107301900288/creative/CR241460999796817920,Video,"EU, IE",2019-04-10,2019-05-24,CA293945087837077504
CR262857221195431936,AR101183107301900288,https://transparencyreport.google.com/political-ads/library/advertiser/AR101183107301900288/creative/CR262857221195431936,Video,"EU, IE",2019-05-22,2019-05-24,CA383979422111236096
CR127162642920898560,AR103378007388848128,https://transparencyreport.google.com/political-ads/library/advertiser/AR103378007388848128/creative/CR127162642920898560,Text,US,2019-08-24,2019-10-20,CA48068174465204224
CR223908121293094912,AR104766140818915328,https://transparencyreport.google.com/political-ads/library/advertiser/AR104766140818915328/creative/CR223908121293094912,Text,"EU, SE",2019-05-22,2019-05-22,CA65244195358507008
CR113095766033039360,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR113095766033039360,Text,US,2018-08-28,2018-08-28,CA441717801342730240
CR136226741902376960,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR136226741902376960,Video,US,2019-03-11,2019-04-11,CA479765851466104832
CR140397464384438272,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR140397464384438272,Image,US,2019-07-10,2019-07-11,CA62851108300652544
CR152661417080651776,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR152661417080651776,Video,US,2019-06-24,2019-06-25,CA246577302278766592
CR15746655777193984,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR15746655777193984,Video,US,2019-03-22,2019-03-27,CA570041253664653312
CR163236245038694400,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR163236245038694400,Text,US,2019-03-14,2019-04-09,CA129811091554304000
CR177580473734660096,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR177580473734660096,Video,US,2019-02-12,2019-03-11,CA339850797808353280
CR17803842032762880,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR17803842032762880,Video,US,2019-01-10,2019-03-11,CA420313058729000960
CR185257538797699072,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR185257538797699072,Image,US,2019-07-10,2019-07-11,CA515885083316453376
CR194102010331529216,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR194102010331529216,Text,US,2019-07-15,2019-10-20,CA143210015128289280
CR195208119029071872,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR195208119029071872,Text,US,2019-06-17,2019-07-15,CA61003653888081920
CR216459479770726400,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR216459479770726400,Video,US,2019-06-23,2019-06-25,CA154816459871092736
CR226592578932310016,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR226592578932310016,Video,US,2019-06-23,2019-06-25,CA188030507122950144
CR231567594170089472,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR231567594170089472,Video,US,2019-03-22,2019-03-27,CA29609298380193792
CR241475293447979008,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR241475293447979008,Video,US,2019-02-12,2019-03-11,CA501417434440269824
