ad_id,advertiser_id,ad_url,ad_type,regions,start_date,end_date,ad_campaigns_list,num_of_days,impressions,spend_range_min_usd,spend_range_max_usd
CR452816271713501184,AR329053043867779072,https://transparencyreport.google.com/political-ads/library/advertiser/AR329053043867779072/creative/CR452816271713501184,Video,US,2018-10-03,2018-11-05,CA519561025566015488,33,> 10M,50000,100000
CR373435930234585088,AR120847323008860160,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR373435930234585088,Image,US,2018-10-12,2019-10-20,CA447921245946642432,264,> 10M,1000,50000
CR576243049001123840,AR140403236820484096,https://transparencyreport.google.com/political-ads/library/advertiser/AR140403236820484096/creative/CR576243049001123840,Video,US,2018-10-03,2019-05-28,CA44195969390084096,215,1M-10M,1000,50000
CR323700621263765504,AR194446432348930048,https://transparencyreport.google.com/political-ads/library/advertiser/AR194446432348930048/creative/CR323700621263765504,Video,US,2018-08-26,2018-09-04,"CA199943990487810048, CA213454789369921536",10,1M-10M,1000,50000
CR305642242289172480,AR200379397092409344,https://transparencyreport.google.com/political-ads/library/advertiser/AR200379397092409344/creative/CR305642242289172480,Image,US,2018-05-31,2018-12-11,CA94254534779469824,180,> 10M,1000,50000
CR177065902292860928,AR205531158824353792,https://transparencyreport.google.com/political-ads/library/advertiser/AR205531158824353792/creative/CR177065902292860928,Text,US,2019-01-15,2019-03-17,CA547346234155728896,62,100k-1M,1000,50000
CR217371249788059648,AR210209031044726784,https://transparencyreport.google.com/political-ads/library/advertiser/AR210209031044726784/creative/CR217371249788059648,Video,US,2018-09-14,2018-10-07,CA286844991500713984,20,1M-10M,1000,50000
CR120431707613560832,AR230475229367894016,https://transparencyreport.google.com/political-ads/library/advertiser/AR230475229367894016/creative/CR120431707613560832,Video,US,2018-09-11,2018-09-18,"CA527163048960458752, CA467631091386155008",8,1M-10M,50000,100000
CR441843145668296704,AR230475229367894016,https://transparencyreport.google.com/political-ads/library/advertiser/AR230475229367894016/creative/CR441843145668296704,Video,US,2018-10-16,2018-10-23,"CA18434411951292416, CA314334981218369536",8,1M-10M,1000,50000
CR38114570576855040,AR271344076572327936,https://transparencyreport.google.com/political-ads/library/advertiser/AR271344076572327936/creative/CR38114570576855040,Video,US,2018-10-25,2018-11-04,CA15385466207469568,11,1M-10M,1000,50000
CR455002100829519872,AR271344076572327936,https://transparencyreport.google.com/political-ads/library/advertiser/AR271344076572327936/creative/CR455002100829519872,Image,US,2018-10-18,2018-11-06,CA366341881212174336,20,1M-10M,1000,50000
CR365699766421553152,AR329053043867779072,https://transparencyreport.google.com/political-ads/library/advertiser/AR329053043867779072/creative/CR365699766421553152,Text,US,2018-10-06,2018-11-06,CA379667962140819456,30,100k-1M,1000,50000
CR566668501746450432,AR329053043867779072,https://transparencyreport.google.com/political-ads/library/advertiser/AR329053043867779072/creative/CR566668501746450432,Text,US,2018-10-09,2018-11-06,CA459426535619690496,29,100k-1M,50000,100000
CR327902404949311488,AR383080296477622272,https://transparencyreport.google.com/political-ads/library/advertiser/AR383080296477622272/creative/CR327902404949311488,Text,US,2019-02-19,2019-03-03,CA566893351874330624,13,100k-1M,1000,50000
CR380964286349967360,AR392604815953231872,https://transparencyreport.google.com/political-ads/library/advertiser/AR392604815953231872/creative/CR380964286349967360,Video,US,2018-11-02,2018-11-06,CA218518040415830016,5,1M-10M,1000,50000
CR65999834724696064,AR408484512637386752,https://transparencyreport.google.com/political-ads/library/advertiser/AR408484512637386752/creative/CR65999834724696064,Text,US,2019-03-01,2019-08-20,CA267043336840282112,173,100k-1M,50000,100000
CR246908530156634112,AR424466463902924800,https://transparencyreport.google.com/political-ads/library/advertiser/AR424466463902924800/creative/CR246908530156634112,Video,US,2018-09-30,2018-11-06,CA128689039938158592,38,1M-10M,1000,50000
CR488919835523153920,AR424466463902924800,https://transparencyreport.google.com/political-ads/library/advertiser/AR424466463902924800/creative/CR488919835523153920,Video,US,2018-10-16,2018-11-06,CA314546087450902528,22,1M-10M,50000,100000
