country,country_subdivision_primary,country_subdivision_secondary,spend_usd
US,US-AK,AK-AT LARGE,121700
US,US-AL,AL-1,92600
US,US-AL,AL-2,102000
US,US-AL,AL-3,80200
US,US-AL,AL-4,66500
US,US-AL,AL-5,98600
US,US-AL,AL-6,134900
US,US-AL,AL-7,79600
US,US-AR,AR-1,72500
US,US-AR,AR-2,172500
US,US-AR,AR-3,106200
US,US-AR,AR-4,67700
US,US-AZ,AZ-1,678500
US,US-AZ,AZ-2,601900
US,US-AZ,AZ-3,412900
US,US-AZ,AZ-4,517800
US,US-AZ,AZ-5,413500
US,US-AZ,AZ-6,652200
US,US-AZ,AZ-7,1079900
US,US-AZ,AZ-8,496000
US,US-AZ,AZ-9,482200
US,US-CA,CA-1,119100
US,US-CA,CA-10,602000
US,US-CA,CA-11,155700
US,US-CA,CA-12,287300
US,US-CA,CA-13,215000
US,US-CA,CA-14,145900
US,US-CA,CA-15,121100
US,US-CA,CA-16,96800
US,US-CA,CA-17,207500
US,US-CA,CA-18,186900
US,US-CA,CA-19,110500
US,US-CA,CA-2,151500
US,US-CA,CA-20,130800
US,US-CA,CA-21,171700
US,US-CA,CA-22,217500
US,US-CA,CA-24,136700
US,US-CA,CA-25,530600
US,US-CA,CA-26,178900
US,US-CA,CA-27,133300
US,US-CA,CA-28,216900
US,US-CA,CA-29,160100
US,US-CA,CA-3,105600
US,US-CA,CA-30,225400
US,US-CA,CA-31,221100
US,US-CA,CA-32,116900
US,US-CA,CA-33,215600
US,US-CA,CA-34,166200
US,US-CA,CA-35,120900
US,US-CA,CA-36,143400
US,US-CA,CA-37,136200
US,US-CA,CA-38,97600
US,US-CA,CA-39,701200
US,US-CA,CA-4,157200
US,US-CA,CA-40,81400
US,US-CA,CA-41,117300
US,US-CA,CA-43,239000
US,US-CA,CA-44,88600
US,US-CA,CA-45,835400
US,US-CA,CA-46,227000
US,US-CA,CA-47,150500
US,US-CA,CA-48,635500
US,US-CA,CA-49,328400
US,US-CA,CA-5,123200
US,US-CA,CA-50,132800
US,US-CA,CA-51,117700
US,US-CA,CA-52,200700
US,US-CA,CA-53,148000
US,US-CA,CA-6,249100
US,US-CA,CA-7,164100
US,US-CA,CA-8,140000
